"Time","alice outbound","bob outbound","charlie outbound","dave outbound","erin outbound","frank outbound","ian outbound","jade outbound","luke outbound","mike outbound"
1732280400000,undefined,23397.28888888889,12468.977777777776,undefined,undefined,2700.133333333333,115942.93333333332,undefined,15129.91111111111,960.1777777777777
1732287600000,undefined,19936.355555555554,24267.733333333334,undefined,undefined,2764.1777777777775,27447.6,undefined,21066.533333333333,807.1555555555555
1732294800000,undefined,122704.19999999998,57805.51111111111,undefined,undefined,2632.5555555555557,83704.44444444444,undefined,18699.82222222222,4952.444444444443
1732302000000,undefined,9463.71111111111,12697.6,undefined,undefined,2666.8,20358.466666666667,undefined,26509.688888888886,1059.1555555555556
1732309200000,undefined,18092.04444444444,12008.422222222222,undefined,undefined,2346.644444444444,22993.48888888889,undefined,12711.355555555554,865.9777777777778
1732316400000,undefined,9585.02222222222,7467.955555555555,undefined,undefined,1659.0222222222221,13580.71111111111,undefined,9475.755555555555,560.9777777777778
1732323600000,undefined,20267.133333333335,11245.933333333332,undefined,undefined,2835.4666666666667,38528.044444444444,undefined,44490.35555555555,717.6222222222221
1732330800000,undefined,22860.62222222222,15577.622222222222,undefined,undefined,2516.4,21646.8,undefined,17753.333333333332,945.6666666666666
1732338000000,undefined,19453.42222222222,6408.733333333333,undefined,undefined,1776.2666666666667,11944.777777777777,undefined,18584.933333333334,477.4888888888889
1732345200000,undefined,16165.133333333333,8558.444444444443,undefined,undefined,35636.288888888885,15590.6,undefined,16250.266666666666,807.911111111111
1732352400000,undefined,25387.466666666667,37661.15555555555,undefined,undefined,2783.555555555555,63446.57777777778,undefined,20975.688888888886,994.0222222222222
1732359600000,undefined,14071.422222222222,14992.377777777778,undefined,undefined,1676.2222222222222,12181.577777777777,undefined,14232.533333333331,777.0888888888888
1732366800000,undefined,104511.62222222221,18248.088888888888,undefined,undefined,1742.9333333333334,74138.62222222221,undefined,21187.28888888889,817.0888888888888
1732374000000,undefined,11271.22222222222,13359.31111111111,undefined,undefined,433.53333333333336,25002.17777777778,undefined,12375.8,870.4666666666667
1732381200000,undefined,111073.76583444444,23831.355555555554,undefined,undefined,488.6666666666667,79120.08888888889,undefined,25280.24444444444,1126.3111111111111
1732388400000,undefined,21138.6,10566.866666666667,undefined,undefined,1736.111111111111,21884.377777777776,undefined,15261.333333333332,998.3333333333333
1732395600000,undefined,21722.133333333335,12547.333333333332,undefined,undefined,294.3333333333333,24894.666666666668,undefined,13154.8,622.3555555555555
